NCID,NameC,NameE,NameF,Pinyin,PYA,Strokes,Description,ICF2,IDF2,TF2,MAX2,Boy,Girl,ScoreC,ScoreMax,ScoreAvg,ScoreMin,ScoreStd,IsFree
618,晓婷,晓,婷,Xiao Ting,XT,22,诗词，晓日影娉婷。,647,2981,79254,5423,0.0031,0.9969,83,96,88,79,5.1728,100
898,晓晨,晓,晨,Xiao Chen,XC,21,诗词，晓行晨星多。,608,2851,57058,4929,0.3687,0.6313,81,96,87,79,4.9971,101
923,佳慧,佳,慧,Jia Hui,JH,23,诗词，儿佳女慧更堪娱。,615,2728,55340,4294,0.059,0.941,84,96,88,79,5.0441,11
945,思敏,思,敏,Si Min,SM,20,成语，才思敏捷。,543,2479,54016,3964,0.2153,0.7847,81,96,87,79,5.2506,101
1203,晓倩,晓,倩,Xiao Qian,XQ,20,诗词，相映晓妆容倩。,554,2453,42736,2765,0.0086,0.9914,82,96,88,79,4.9242,101
1101,雪婷,雪,婷,Xue Ting,XT,23,诗词，冰魂雪态自娉婷。,558,2424,46929,3612,0.0013,0.9987,82,96,86,79,5.0131,101
1017,思佳,思,佳,Si Jia,SJ,17,诗词，思佳人兮难忘。,544,2401,50382,5435,0.1974,0.8026,81,96,86,78,5.3789,101
1114,佳欣,佳,欣,Jia Xin,JX,16,诗词，佳士欣相识。,581,2399,46494,4879,0.1813,0.8187,84,96,88,79,5.1144,101
1651,晓颖,晓,颖,Xiao Ying,XY,23,诗词，晓暮鲛珠上颖芒。,502,2383,31710,2316,0.0568,0.9432,84,96,89,79,4.7055,10
1383,文佳,文,佳,Wen Jia,WJ,12,诗词，雄文佳句盛唐风。,529,2334,37604,2536,0.3062,0.6938,81,96,87,77,5.3391,101
1220,欣然,欣,然,Xin Ran,XR,20,成语，欣然自得。,607,2333,42078,4398,0.28,0.72,80,96,85,77,5.2501,101
1476,晓莹,晓,莹,Xiao Ying,XY,20,诗词，晓色莹然。,503,2295,35429,2147,0.0226,0.9774,84,96,89,79,4.6807,100
1679,晓晴,晓,晴,Xiao Qing,XQ,22,诗词，薄雷轻雨晓晴初。,515,2290,31303,1787,0.0535,0.9465,81,96,88,79,4.5767,101
1229,雅文,雅,文,Ya Wen,YW,16,诗词，典雅文章众口传。,566,2249,41573,3042,0.1583,0.8417,82,96,86,77,5.4337,101
1359,可心,可,心,Ke Xin,KX,9,成语，可心如意。,578,2224,37967,3534,0.3596,0.6404,79,95,83,76,4.4795,101
1577,雨薇,雨,薇,Yu Wei,YW,24,诗词，满溪春雨长春薇。,558,2223,33189,2952,0.0032,0.9968,83,96,87,79,4.8105,101
1540,佳敏,佳,敏,Jia Min,JM,19,诗词，玉笺佳句敏惊鸿。,523,2202,33815,1906,0.1721,0.8279,82,96,88,79,5.2312,11
1737,雨晨,雨,晨,Yu Chen,YC,19,诗词，萧萧空雨晨光润。,571,2190,30466,2409,0.2666,0.7334,81,96,87,79,4.8347,101
1694,雨辰,雨,辰,Yu Chen,YC,15,诗词，南国清和烟雨辰。,566,2173,30990,1947,0.3823,0.6177,81,96,87,79,4.8067,101
1566,佳宁,佳,宁,Jia Ning,JN,13,诗词，门有佳儿真宁馨。,529,2157,33339,2732,0.3387,0.6613,81,96,87,78,5.352,101
2111,雅君,雅,君,Ya Jun,YJ,19,诗词，风雅如君希有。,479,2153,25361,2247,0.03,0.97,83,96,88,79,5.0008,101
1469,梦琪,梦,琪,Meng Qi,MQ,23,诗词，别来频梦琪花发。,596,2142,35504,2702,0.0507,0.9493,82,96,86,79,5.048,101
1408,佳颖,佳,颖,Jia Ying,JY,21,诗词，佳谷垂金颖。,524,2080,36974,5202,0.0412,0.9588,84,96,88,80,4.9628,101
1772,文雅,文,雅,Wen Ya,WY,16,成语，雍容文雅。,505,2069,29667,1884,0.0646,0.9354,80,96,87,78,5.2911,101
2238,雪晴,雪,晴,Xue Qing,XQ,23,诗词，窗外梅花照雪晴。,524,2063,24077,1823,0.0225,0.9775,80,96,85,79,4.6158,101
1358,雨涵,雨,涵,Yu Han,YH,19,诗词，烟雨涵芳姿。,593,2048,38096,2878,0.1191,0.8809,82,96,88,79,4.7591,101
1686,冰洁,冰,洁,Bing Jie,BJ,15,成语，冰清玉洁。,507,2022,31138,2107,0.0215,0.9785,82,96,84,78,4.6798,100
1809,慧婷,慧,婷,Hui Ting,HT,27,诗词，男生聪慧女娉婷。,491,2021,29143,1597,0.0007,0.9993,82,96,87,79,4.9789,10
1978,文倩,文,倩,Wen Qian,WQ,14,诗词，文思曼倩足三冬。,495,2019,26757,1843,0.0145,0.9855,81,96,87,79,5.0866,101
2026,佳音,佳,音,Jia Yin,JY,17,诗词，山水有佳音。,491,2012,26241,2309,0.0861,0.9139,78,96,86,78,4.3009,101
1603,诗雨,诗,雨,Shi Yu,SY,16,诗词，催诗雨满畦。,558,1980,32510,2458,0.4471,0.5529,81,96,85,76,5.2025,101
1717,怡然,怡,然,Yi Ran,YR,20,成语，怡然自得。,523,1974,30768,3257,0.2436,0.7564,80,96,85,77,5.0876,101
1649,嘉慧,嘉,慧,Jia Hui,JH,29,诗词，嘉园慧山麓。,506,1971,31742,2415,0.1154,0.8846,84,96,89,80,4.8733,11
1635,梦洁,梦,洁,Meng Jie,MJ,20,诗词，一点微凉如梦洁。,537,1967,31925,2173,0.0111,0.9889,82,96,86,79,5.0514,101
2551,静宜,静,宜,Jing Yi,JY,22,诗词，静宜翠竹亚寒枝。,504,1943,21323,1487,0.0745,0.9255,83,96,87,79,4.5068,101
2179,佳琳,佳,琳,Jia Lin,JL,20,诗词，佳句刻琳琅。,485,1941,24650,1640,0.0464,0.9536,83,96,88,79,5.117,101
2031,雅洁,雅,洁,Ya Jie,YJ,21,诗词，雅洁自然无俗态。,497,1938,26208,2295,0.0058,0.9942,82,96,87,79,4.9819,101
1924,雨佳,雨,佳,Yu Jia,YJ,16,诗词，夜凉山雨佳。,515,1933,27447,1891,0.14,0.86,82,96,88,78,5.0196,101
2021,静茹,静,茹,Jing Ru,JR,23,诗词，静取蔬茹捽。,472,1927,26304,2835,0.0032,0.9968,81,96,86,80,4.8001,10
2519,新颖,新,颖,Xin Ying,XY,26,诗词，畦菊发新颖。,467,1913,21519,2079,0.1473,0.8527,83,96,88,79,5.0672,101
1273,雨桐,雨,桐,Yu Tong,YT,18,诗词，疏雨桐花幽鸟啼。,546,1878,40421,5178,0.2117,0.7883,81,96,87,79,4.5179,101
1281,思颖,思,颖,Si Ying,SY,22,诗词，欧公思颖终归颖。,497,1873,40269,5214,0.0536,0.9464,83,96,87,79,5.2206,101
1326,嘉敏,嘉,敏,Jia Min,JM,25,诗词，嘉君才敏售何时。,447,1868,38817,2546,0.3019,0.6981,82,96,88,80,5.1144,10
3226,晓月,晓,月,Xiao Yue,XY,14,成语，卢沟晓月。,508,1842,17263,1176,0.0996,0.9004,81,96,86,76,5.3709,101
2414,静雅,静,雅,Jing Ya,JY,26,诗词，连榭似闻兼静雅。,479,1837,22323,1830,0.0098,0.9902,81,96,86,78,4.8927,100
3283,文欣,文,欣,Wen Xin,WX,12,诗词，斯文欣有属。,454,1833,17011,1044,0.3439,0.6561,83,96,89,78,5.2337,101
1652,舒婷,舒,婷,Shu Ting,ST,24,诗词，霞舒云卷千娉婷。,481,1829,31692,2225,0.0012,0.9988,82,96,86,79,4.8669,10
3304,凌霄,凌,霄,Ling Xiao,LX,25,诗词，煌煌凌霄花。,454,1826,16949,1152,0.3921,0.6079,79,95,82,77,3.7116,101
2241,玉莹,玉,莹,Yu Ying,YY,15,诗词，翡翠新鲜玉莹洁。,484,1824,24053,2111,0.0149,0.9851,84,96,89,80,4.8071,100
1501,思涵,思,涵,Si Han,SH,20,诗词，思若春波涵。,539,1810,34800,5148,0.1697,0.8303,81,96,87,80,5.1813,101
2169,梦雪,梦,雪,Meng Xue,MX,22,诗词，犹梦雪窗明。,549,1807,24789,2212,0.0164,0.9836,80,94,82,74,4.7574,101
2619,嫣然,嫣,然,Yan Ran,YR,26,成语，嫣然一笑。,535,1798,20820,1840,0.0185,0.9815,78,93,79,75,3.471,101
3396,文惠,文,惠,Wen Hui,WH,16,诗词，诗文惠盈轴。,428,1788,16503,1059,0.1927,0.8073,81,96,88,78,5.1051,100
2906,雅琳,雅,琳,Ya Lin,YL,24,诗词，雅颂振琅琳。,462,1779,19119,1396,0.0073,0.9927,82,96,87,79,5.1261,101
2237,佳莹,佳,莹,Jia Ying,JY,18,诗词，佳人素妆莹白。,465,1777,24115,1809,0.0162,0.9838,84,96,89,80,4.872,10
2762,雪菲,雪,菲,Xue Fei,XF,22,诗词，林雪似芳菲。,480,1775,19899,1763,0.0162,0.9838,81,96,86,78,5.0815,101
2017,璐瑶,璐,瑶,Lu Yao,LY,31,诗词，璐殿瑶阶。,473,1765,26340,4702,0.0095,0.9905,81,96,84,78,4.3117,2
2313,若冰,若,冰,Ruo Bing,RB,14,诗词，肌肤若冰雪。,467,1762,23288,3374,0.2488,0.7512,79,94,82,74,4.5982,101
3715,慧文,慧,文,Hui Wen,HW,19,诗词，天生慧质娴文雅。,405,1740,15221,782,0.278,0.722,82,96,89,79,4.8419,10
1805,诗琪,诗,琪,Shi Qi,SQ,20,诗词，诗因琪树丽。,506,1736,29143,2541,0.2368,0.7632,82,96,87,79,4.9903,10
3046,雨露,雨,露,Yu Lu,YL,29,诗词，月上梧桐雨露清。,527,1736,18294,1348,0.0526,0.9474,81,96,84,76,5.0727,101
2958,佳玉,佳,玉,Jia Yu,JY,13,成语，佳玉如月。,475,1735,18791,1470,0.1285,0.8715,84,96,90,79,4.7867,101
1520,一诺,一,诺,Yi Nuo,YN,11,成语，一诺千金。,538,1724,34315,3949,0.3418,0.6582,76,95,82,74,4.5227,101
2276,梦雅,梦,雅,Meng Ya,MY,23,成语，温文尔雅。,491,1720,23742,2016,0.0084,0.9916,80,96,84,77,5.0018,101
2871,瑞琪,瑞,琪,Rui Qi,RQ,25,诗词，瑞叶琪花满层碧。,449,1719,19287,1910,0.2415,0.7585,82,96,88,79,5.2224,11
2550,雨菲,雨,菲,Yu Fei,YF,19,诗词，微雨散芳菲。,528,1717,21335,1422,0.0246,0.9754,82,96,88,79,4.7669,101
3102,秋雨,秋,雨,Qiu Yu,QY,17,诗词，深山夕照深秋雨。,488,1691,18014,1465,0.2321,0.7679,81,95,84,75,5.1479,101
2606,小涵,小,涵,Xiao Han,XH,14,诗词，小桥流水涵清漪。,504,1673,20916,1370,0.1873,0.8127,81,96,89,80,4.7078,10
4167,玉琪,玉,琪,Yu Qi,YQ,17,诗词，瑶草玉树琪花香。,415,1665,13712,1073,0.1444,0.8556,83,96,90,80,4.5819,101
3338,嘉琳,嘉,琳,Jia Lin,JL,26,诗词，美人嘉赠比琳琅。,437,1640,16762,1043,0.092,0.908,83,96,89,79,4.9579,10
3410,梦华,梦,华,Meng Hua,MH,17,诗词，往往梦华胥。,439,1639,16456,1535,0.0883,0.9117,82,96,87,79,4.9219,101
2114,雨彤,雨,彤,Yu Tong,YT,15,诗词，霏霏朝雨润彤庭。,484,1633,25328,1214,0.086,0.914,81,96,88,79,4.7349,101
1622,紫涵,紫,涵,Zi Han,ZH,23,诗词，天边紫气涵龙剑。,544,1630,32235,3256,0.0786,0.9214,81,96,87,80,4.7306,11
2700,雨萌,雨,萌,Yu Meng,YM,19,诗词，春雨生萌芽。,463,1628,20300,1882,0.0844,0.9156,80,96,87,78,4.7262,101
2096,宇涵,宇,涵,Yu Han,YH,17,诗词，旷宇涵天界。,488,1622,25536,2112,0.3454,0.6546,82,96,89,79,4.7312,101
2940,心雨,心,雨,Xin Yu,XY,12,诗词，月到天心雨欲晴。,538,1611,18872,1618,0.4508,0.5492,81,95,83,73,4.9139,101
3073,怡君,怡,君,Yi Jun,YJ,15,诗词，能怡君子颜。,454,1600,18203,2237,0.1215,0.8785,84,96,89,79,4.8044,101
3816,文颖,文,颖,Wen Ying,WY,17,诗词，文章有神惊颖脱。,374,1596,14802,927,0.0923,0.9077,83,96,89,79,4.8862,11
2756,梦佳,梦,佳,Meng Jia,MJ,19,诗词，千里梦佳期。,450,1594,19931,1326,0.0514,0.9486,81,96,86,79,4.9461,101
2057,思羽,思,羽,Si Yu,SY,15,诗词，天风思羽翰。,471,1593,25874,5712,0.2278,0.7722,82,96,88,79,4.9101,101
2354,思瑶,思,瑶,Si Yao,SY,23,诗词，琼思瑶想。,471,1582,22818,3738,0.0584,0.9416,81,96,87,79,5.1623,101
2863,心悦,心,悦,Xin Yue,XY,14,成语，赏心悦目。,477,1580,19336,1600,0.1902,0.8098,81,96,87,78,4.626,101
3008,雅倩,雅,倩,Ya Qian,YQ,22,诗词，雅韵远珍丛倩影。,462,1560,18501,1394,0.0009,0.9991,81,96,86,79,4.7953,101
2071,诗涵,诗,涵,Shi Han,SH,19,诗词，诵诗涵泳淇泉绿。,499,1556,25782,2108,0.2073,0.7927,81,96,85,78,5.2444,101
3607,佳惠,佳,惠,Jia Hui,JH,20,诗词，好音佳惠不敢虚。,457,1555,15614,1076,0.0916,0.9084,82,96,88,79,4.8672,100
3259,晓涵,晓,涵,Xiao Han,XH,21,诗词，晓日令涵草木姿。,462,1554,17109,1312,0.1785,0.8215,82,96,89,80,4.7307,101
2998,美婷,美,婷,Mei Ting,MT,21,诗词，美人如花舞娉婷。,445,1553,18551,1202,0.0005,0.9995,82,96,87,79,4.868,101
3330,雨馨,雨,馨,Yu Xin,YX,28,诗词，雨中木叶馨。,499,1550,16766,995,0.0514,0.9486,83,96,88,79,4.5423,101
3665,雅欣,雅,欣,Ya Xin,YX,20,诗词，尔雅欣同小雪吟。,458,1548,15429,1413,0.0324,0.9676,83,96,88,79,5.0473,101
4003,文雯,文,雯,Wen Wen,WW,16,诗词，满囊文赋焕青雯。,385,1539,14198,893,0.019,0.981,81,96,89,80,4.9329,10
3103,梦雨,梦,雨,Meng Yu,MY,19,诗词，湿云如梦雨如尘。,481,1529,17989,1338,0.1222,0.8778,81,95,85,75,5.1788,101
3813,雅馨,雅,馨,Ya Xin,YX,32,诗词，雅曲芬馨。,496,1525,14809,1162,0.0093,0.9907,82,96,87,79,4.84,100
2702,雨萱,雨,萱,Yu Xuan,YX,20,诗词，青葱雨后萱。,490,1521,20296,1234,0.0388,0.9612,82,96,88,80,4.5997,101
3382,宇佳,宇,佳,Yu Jia,YJ,14,诗词，今辰天宇佳。,409,1520,16596,1266,0.3883,0.6117,82,96,89,79,4.9301,101
3619,星月,星,月,Xing Yue,XY,13,诗词，星月茫茫欲曙天。,481,1517,15522,1578,0.2267,0.7733,80,93,80,73,4.8978,101
2137,若涵,若,涵,Ruo Han,RH,19,诗词，若涵而蓄。,486,1513,25084,2894,0.1447,0.8553,81,96,85,78,5.0269,101
2341,可馨,可,馨,Ke Xin,KX,25,诗词，惟德可长馨。,522,1510,22929,1644,0.1414,0.8586,82,96,86,78,4.7666,11
2800,嘉颖,嘉,颖,Jia Ying,JY,27,诗词，嘉禾同颖新。,412,1507,19705,1229,0.082,0.918,84,96,89,79,4.8032,101
2994,梦颖,梦,颖,Meng Ying,MY,24,诗词，出水芙蕖生梦颖。,441,1507,18584,1519,0.0123,0.9877,83,96,87,79,4.983,100
4480,佳君,佳,君,Jia Jun,JJ,15,诗词，佳君本是林泉客。,385,1496,12841,589,0.1699,0.8301,84,96,90,80,4.4223,101
3570,梦琳,梦,琳,Meng Lin,ML,23,诗词，海边有梦通琳阙。,461,1493,15781,1062,0.014,0.986,82,96,87,79,5.0974,11
3655,子瑜,子,瑜,Zi Yu,ZY,16,诗词，君子怀瑾瑜。,406,1493,15477,1695,0.4312,0.5688,82,96,90,79,4.6376,101
4734,静云,静,云,Jing Yun,JY,18,诗词，水静云开见碧霄。,420,1489,12132,706,0.062,0.938,82,96,88,78,4.8714,100
2888,馨怡,馨,怡,Xin Yi,XY,28,诗词，誉自馨香道自怡。,473,1487,19179,1789,0.0036,0.9964,83,96,88,79,4.4145,10
2358,雨霏,雨,霏,Yu Fei,YF,24,诗词，细雨霏霏梨花白。,481,1485,22768,3550,0.0788,0.9212,80,96,87,79,4.3148,101
4396,宇欣,宇,欣,Yu Xin,YX,14,诗词，圣后乘乾万宇欣。,433,1483,13052,946,0.4299,0.5701,84,96,89,79,4.6482,101
4106,梦飞,梦,飞,Meng Fei,MF,14,诗词，梦飞九万里。,480,1481,13823,974,0.2797,0.7203,81,95,84,75,5.1941,101
2104,思睿,思,睿,Si Rui,SR,23,诗词，文思睿藻。,437,1462,25452,2364,0.4238,0.5762,80,96,86,78,5.2016,101
2942,子萱,子,萱,Zi Xuan,ZX,15,诗词，赠子以萱草。,483,1462,18909,1353,0.1669,0.8331,81,96,89,79,4.7481,11
3622,依婷,依,婷,Yi Ting,YT,20,诗词，依旧照娉婷。,424,1461,15582,883,0.0011,0.9989,82,96,88,79,4.7746,101
4517,梦菲,梦,菲,Meng Fei,MF,22,诗词，蝶梦绕芳菲。,459,1455,12738,910,0.0083,0.9917,81,96,86,78,4.8827,101
5039,慧云,慧,云,Hui Yun,HY,19,诗词，辉映慧云亭。,389,1455,11480,656,0.057,0.943,81,96,89,79,4.8344,101
2488,欣妍,欣,妍,Xin Yan,XY,15,诗词，乍晴风日欣妍美。,494,1454,21723,1904,0.0025,0.9975,84,96,88,79,4.714,101
3233,静仪,静,仪,Jing Yi,JY,19,诗词，皎如静女仪。,400,1452,17229,1284,0.0371,0.9629,84,96,89,79,4.5157,101
3016,梦涵,梦,涵,Meng Han,MH,22,诗词，吞九云梦涵五湖。,487,1437,18466,1674,0.0431,0.9569,81,96,87,80,5.048,101
3429,雨洁,雨,洁,Yu Jie,YJ,17,诗词，雨后秋光洁。,442,1425,16338,1536,0.0325,0.9675,83,96,89,79,4.8524,101
3567,子璇,子,璇,Zi Xuan,ZX,18,诗词，长安张子璇。,441,1424,15783,1917,0.1039,0.8961,80,96,88,79,4.6503,101
2200,一涵,一,涵,Yi Han,YH,12,诗词，一涵冰镜照红妆。,461,1421,24457,6870,0.3188,0.6812,81,96,89,78,4.9077,101
3055,洁莹,洁,莹,Jie Ying,JY,19,诗词，洁白玉同莹。,356,1415,18264,1197,0.0041,0.9959,83,96,87,79,4.6521,101
3970,紫萱,紫,萱,Zi Xuan,ZX,24,诗词，紫萱偏得地。,492,1412,14296,1784,0.0249,0.9751,81,96,87,79,4.569,101
3537,梦蝶,梦,蝶,Meng Die,MD,26,成语，庄周梦蝶。,443,1410,15893,920,0.0016,0.9984,74,90,79,73,3.2739,101
3313,诗韵,诗,韵,Shi Yun,SY,21,诗词，西昆诗韵胜芳兰。,417,1408,16890,1573,0.0528,0.9472,80,96,86,79,4.6229,101
4608,凯歌,凯,歌,Kai Ge,KG,22,诗词，将军马上凯歌还。,416,1403,12471,1519,0.3823,0.6177,76,94,79,75,3.7216,100
4697,嘉惠,嘉,惠,Jia Hui,JH,26,诗词，晞明明兮嘉惠。,430,1398,12212,729,0.1734,0.8266,82,96,88,79,4.8852,101
5380,紫云,紫,云,Zi Yun,ZY,16,诗词，紫云浮剑匣。,427,1398,10878,601,0.0971,0.9029,81,96,86,75,5.4114,101
5357,文怡,文,怡,Wen Yi,WY,12,诗词，但用文章自怡说。,376,1397,10926,681,0.0905,0.9095,83,96,90,80,4.7007,101
3597,依然,依,然,Yi Ran,YR,20,成语，依然如故。,501,1395,15255,1126,0.1945,0.8055,79,87,74,65,5.2106,100
2861,诗雅,诗,雅,Shi Ya,SY,20,诗词，诗雅继周南。,426,1392,19333,1662,0.0469,0.9531,80,96,85,78,5.1036,101
4133,玉涵,玉,涵,Yu Han,YH,16,诗词，波心碧玉涵。,427,1385,13781,1014,0.1245,0.8755,82,96,90,80,4.5941,101
3347,紫嫣,紫,嫣,Zi Yan,ZY,26,成语，姹紫嫣红。,467,1384,16743,1581,0.0035,0.9965,80,96,84,77,3.946,101
4419,映雪,映,雪,Ying Xue,YX,20,成语，囊萤映雪。,378,1383,12989,778,0.0525,0.9475,80,96,83,77,4.1626,100
3959,梦君,梦,君,Meng Jun,MJ,18,诗词，半梦梅花半梦君。,413,1381,14342,1208,0.0562,0.9438,83,96,87,77,5.1518,101
4457,若琳,若,琳,Ruo Lin,RL,20,诗词，有粲若琳。,432,1381,12901,1277,0.0505,0.9495,82,96,85,77,5.1872,101
4490,悠然,悠,然,You Ran,YR,23,成语，悠然自得。,494,1380,12732,844,0.365,0.635,77,91,78,74,3.3374,100
4829,心语,心,语,Xin Yu,XY,13,诗词，谁将心语系莲丝。,521,1379,11795,1007,0.2525,0.7475,80,94,82,73,4.0798,101
7383,若云,若,云,Ruo Yun,RY,12,诗词，飘飖若云仙。,428,1379,8063,466,0.1757,0.8243,81,96,85,75,5.2025,101
5340,云婷,云,婷,Yun Ting,YT,16,诗词，霞舒云卷千娉婷。,421,1370,10934,683,0.0054,0.9946,82,96,88,79,4.946,11
3728,羽佳,羽,佳,Yu Jia,YJ,14,诗词，羽车云幄有佳期。,400,1364,15136,3370,0.1631,0.8369,81,96,88,79,4.7578,101
4636,宇彤,宇,彤,Yu Tong,YT,13,诗词，疏依玉宇排彤树。,399,1361,12410,971,0.2685,0.7315,81,96,89,79,4.7148,11
1386,馨月,馨,月,Xin Yue,XY,24,诗词，馨香出月宫。,427,1359,37515,13193,0.0067,0.9933,80,96,87,79,4.5388,101
5196,晨雨,晨,雨,Chen Yu,CY,19,诗词，晚烟晨雨自霏霏。,439,1359,10972,892,0.4909,0.5091,81,96,87,78,4.8159,101
6272,雨竹,雨,竹,Yu Zhu,YZ,14,诗词，雨竹风泉演妙声。,427,1355,9360,713,0.0816,0.9184,80,96,85,77,5.0483,101
4281,梦阳,梦,阳,Meng Yang,MY,17,诗词，梦中疑是洛阳城。,416,1353,13355,1693,0.267,0.733,81,95,86,77,5.112,101
3721,思静,思,静,Si Jing,SJ,23,诗词，听琴知思静。,411,1350,15163,1790,0.0381,0.9619,82,96,87,78,5.2416,101
5414,思凡,思,凡,Si Fan,SF,12,诗词，相思凡几度。,440,1344,10792,834,0.4082,0.5918,80,96,84,76,5.4127,101
3739,子晴,子,晴,Zi Qing,ZQ,15,诗词，梅子黄时日日晴。,407,1334,15076,752,0.1486,0.8514,80,96,88,77,4.7829,100
4285,皓月,皓,月,Hao Yue,HY,16,诗词，清如皓月出云边。,431,1333,13343,1111,0.2673,0.7327,80,96,81,74,4.795,101
5528,佳蓉,佳,蓉,Jia Rong,JR,21,诗词，佳哉木芙蓉。,435,1330,10598,1535,0.0064,0.9936,83,96,88,80,4.8951,101
3029,思语,思,语,Si Yu,SY,18,诗词，锦书谁寄相思语。,467,1329,18390,1513,0.2065,0.7935,80,96,85,77,4.8083,101
3445,佩珊,佩,珊,Pei Shan,PS,17,诗词，环佩珊珊。,345,1329,16325,1705,0.0098,0.9902,80,96,84,77,4.6223,101
4653,怡宁,怡,宁,Yi Ning,YN,13,诗词，怡怡宁夏舞衣欢。,391,1329,12354,1507,0.2571,0.7429,81,96,89,79,4.8834,101
5936,文琳,文,琳,Wen Lin,WL,16,诗词，碧文金检佩琳琅。,355,1327,9875,599,0.1034,0.8966,82,96,89,78,4.8441,101
6292,蔚然,蔚,然,Wei Ran,WR,26,成语，蔚然成风。,347,1322,9376,882,0.3396,0.6604,79,96,83,77,4.2016,100
5157,卓君,卓,君,Zhuo Jun,ZJ,15,诗词，有卓君子。,337,1320,11275,739,0.306,0.694,82,96,85,77,5.0675,101
6504,雨亭,雨,亭,Yu Ting,YT,17,诗词，喜雨亭前黍稌秋。,402,1317,9084,489,0.3122,0.6878,80,96,87,79,4.3652,101
5241,嘉懿,嘉,懿,Jia Yi,JY,36,诗词，两汉名臣录嘉懿。,421,1316,11133,810,0.3211,0.6789,81,96,88,80,4.2946,101
4925,佳雨,佳,雨,Jia Yu,JY,16,诗词，佳雨散园芳。,433,1313,11702,938,0.3238,0.6762,82,96,89,79,4.6431,101
4476,若曦,若,曦,Ruo Xi,RX,28,诗词，秉心若明曦。,419,1312,12848,1236,0.2739,0.7261,80,96,85,78,4.5144,101
